id,portfolio_id,date,symbol,type,asset,stock_type,amount,price,fee,note,status,created_at
"b1d88b4c-dea0-451c-b678-21f796c5ce41","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-09-18T14:30:00.000Z","SCHG","BUY","ETF","ETF","2.44339","31.888608","0","DCA SCHG","CONFIRMED","2026-09-04 15:58:21"
"f39e5a22-9b55-4663-85e6-cd0b3911c3a3","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-09-29T12:00:00.000Z","SCHG","DIVIDEND","Cash","Cash","0.31","1","0","Dividend SCHG ($0.37 - WHT $0.06)","CONFIRMED","2026-09-04 15:58:21"
"961ffc7d-3fa6-431b-bcad-8c2ee00c8345","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-10-01T00:00:00.000Z","CASH","INTEREST","Cash","Cash","0.03","1","0","Credit Interest","CONFIRMED","2026-09-04 15:58:21"
"03bee25b-03db-4a86-ac51-6945b62011eb","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-10-02T08:00:00.000Z","CASH","DEPOSIT","Cash","Cash","76.86","1","0","Deposit ฿2,500 -> $76.86","CONFIRMED","2026-09-04 15:58:21"
"46df6587-2d4a-4c24-8c2b-bf744cdeaaf6","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-10-02T14:30:00.000Z","SCHG","BUY","ETF","ETF","2.39143","32.139699","0","DCA SCHG","CONFIRMED","2026-09-04 15:58:21"
"b857c7df-2807-4f42-ac91-e403394e7035","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-10-16T08:00:00.000Z","CASH","DEPOSIT","Cash","Cash","76.9","1","0","Deposit ฿2,500 -> $76.90","CONFIRMED","2026-09-04 15:58:21"
"6587ed0d-347a-4f9b-a3ea-7534a2ab4aa2","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-10-16T14:30:00.000Z","SCHG","BUY","ETF","ETF","2.39416","32.119825","0","DCA SCHG","CONFIRMED","2026-09-04 15:58:21"
"bd78473f-f885-4bcc-8b33-a167cd0c51a8","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-10-17T08:00:00.000Z","CASH","DEPOSIT","Cash","Cash","75.91","1","0","Deposit ฿2,500 -> $75.91","CONFIRMED","2026-09-04 15:58:21"
"309420b6-69c8-4145-8a77-cfa3fa80ba6e","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-10-17T14:30:00.000Z","NVDA","BUY","Stock","Growth","0.41429","183.228945","0","Buy NVDA","CONFIRMED","2026-09-04 15:58:21"
"f34c988c-69b1-41e3-9e82-243b476dcf8a","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-10-27T08:00:00.000Z","CASH","DEPOSIT","Cash","Cash","76.22","1","0","Deposit ฿2,500 -> $76.22","CONFIRMED","2026-09-04 15:58:21"
"b39b3ab2-4959-487b-8633-ac14b1be382a","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-10-27T14:30:00.000Z","NVDA","BUY","Stock","Growth","0.40046","190.330869","0","Buy NVDA","CONFIRMED","2026-09-04 15:58:21"
"ddfcb608-1956-404c-900c-bb063e3c629c","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-10-30T08:00:00.000Z","CASH","DEPOSIT","Cash","Cash","77.02","1","0","Deposit ฿2,500 -> $77.02","CONFIRMED","2026-09-04 15:58:21"
"277f9623-31ba-4acf-94a6-d1461e60497d","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-10-30T14:30:00.000Z","SCHG","BUY","ETF","ETF","2.30686","33.387375","0","DCA SCHG","CONFIRMED","2026-09-04 15:58:21"
"2b970b37-fc63-418c-9dc0-205e346aeeea","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-11-01T00:00:00.000Z","CASH","INTEREST","Cash","Cash","0.05","1","0","Credit Interest ($0.06 - WHT $0.01)","CONFIRMED","2026-09-04 15:58:21"
"dd486c00-f8f1-4cc9-b0a3-cc246d735e9f","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-11-13T08:00:00.000Z","CASH","DEPOSIT","Cash","Cash","77.14","1","0","Deposit ฿2,500 -> $77.14","CONFIRMED","2026-09-04 15:58:21"
"ff9a260c-f2a7-430c-b1fe-19297b790234","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-11-13T14:30:00.000Z","SCHG","BUY","ETF","ETF","2.36936","32.557317","0","DCA SCHG","CONFIRMED","2026-09-04 15:58:21"
"06200bf6-2961-42bf-9165-1c38036a8682","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-11-17T08:00:00.000Z","CASH","DEPOSIT","Cash","Cash","76.95","1","0","Deposit ฿2,500 -> $76.95","CONFIRMED","2026-09-04 15:58:21"
"02d5f10c-5c33-48f2-afd7-fbc663652cea","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-11-17T14:30:00.000Z","NVDA","BUY","Stock","Growth","0.4107","187.363037","0","Buy NVDA","CONFIRMED","2026-09-04 15:58:21"
"c9d7247d-fbe5-486a-b06c-d74e8f1ee89f","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-11-28T08:00:00.000Z","CASH","DEPOSIT","Cash","Cash","77.71","1","0","Deposit ฿2,500 -> $77.71 (Lot 1)","CONFIRMED","2026-09-04 15:58:21"
"e17b2d3a-21a3-464c-9b1c-5682157f0c62","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-11-28T08:01:00.000Z","CASH","DEPOSIT","Cash","Cash","77.67","1","0","Deposit ฿2,500 -> $77.67 (Lot 2)","CONFIRMED","2026-09-04 15:58:21"
"cdd05d34-eff5-4617-bc94-0e8024323246","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-11-28T14:30:00.000Z","NVDA","BUY","Stock","Growth","0.43716","177.760999","0","Buy NVDA","CONFIRMED","2026-09-04 15:58:21"
"4f543edb-ed76-4f47-abb3-4c9898de6679","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-11-28T14:31:00.000Z","SCHG","BUY","ETF","ETF","2.37397","32.717347","0","DCA SCHG","CONFIRMED","2026-09-04 15:58:21"
"d136d2d5-03cc-4ead-b317-69473486aa79","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-12-01T00:00:00.000Z","CASH","INTEREST","Cash","Cash","0.05","1","0","Credit Interest ($0.06 - WHT $0.01)","CONFIRMED","2026-09-04 15:58:21"
"6a1c7ba2-1056-4b85-9267-62846fbf41fc","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-12-11T08:00:00.000Z","CASH","DEPOSIT","Cash","Cash","78.68","1","0","Deposit ฿2,500 -> $78.68","CONFIRMED","2026-09-04 15:58:21"
"1198cc7e-9332-49ef-9829-6d92e7cf7328","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-12-11T14:30:00.000Z","SCHG","BUY","ETF","ETF","2.3988","32.799733","0","DCA SCHG","CONFIRMED","2026-09-04 15:58:21"
"dce1787d-96c8-4262-9a37-9e875dfd94f8","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-12-15T12:00:00.000Z","SCHG","DIVIDEND","Cash","Cash","0.65","1","0","Dividend SCHG ($0.77 - WHT $0.12)","CONFIRMED","2026-09-04 15:58:21"
"8e59e34a-d1f2-47c1-bb13-bbbcdbb06f97","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-12-17T08:00:00.000Z","CASH","DEPOSIT","Cash","Cash","79.34","1","0","Deposit ฿2,500 -> $79.34","CONFIRMED","2026-09-04 15:58:21"
"5965f960-1db8-4d54-bd75-27c949947060","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-12-17T14:30:00.000Z","NVDA","BUY","Stock","Growth","0.4564","173.838738","0","Buy NVDA","CONFIRMED","2026-09-04 15:58:21"
"ec34f0ca-a98e-469e-a4ed-3743a8984ef6","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-12-26T08:00:00.000Z","CASH","DEPOSIT","Cash","Cash","80.46","1","0","Deposit ฿2,500 -> $80.46","CONFIRMED","2026-09-04 15:58:21"
"d72cdc62-5d90-471d-a5f1-d7c91ab49e70","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-12-26T14:30:00.000Z","SCHG","BUY","ETF","ETF","2.42957","33.117004","0","DCA SCHG","CONFIRMED","2026-09-04 15:58:21"
"9fef278c-7ac2-4465-9982-20e98fed1e74","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-12-27T12:00:00.000Z","NVDA","DIVIDEND","Cash","Cash","0.02","1","0","Dividend NVDA","CONFIRMED","2026-09-04 15:58:21"
"6c9fe8bf-15a8-4419-9857-449e3f6dc964","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-12-29T08:00:00.000Z","CASH","DEPOSIT","Cash","Cash","78.88","1","0","Deposit ฿2,500 -> $78.88","CONFIRMED","2026-09-04 15:58:21"
"25e3790e-899f-4f3d-adcb-2808e52f2757","1c32059d-7847-41c8-a45f-311b3ade67b7","2025-12-29T14:30:00.000Z","NVDA","BUY","Stock","Growth","0.42092","187.4","0","Buy NVDA","CONFIRMED","2026-09-04 15:58:21"
"87a822fc-2692-4f5b-bf00-eb09292470f5","1c32059d-7847-41c8-a45f-311b3ade67b7","2026-01-01T00:00:00.000Z","CASH","INTEREST","Cash","Cash","0.04","1","0","Credit Interest ($0.05 - WHT $0.01)","CONFIRMED","2026-09-04 15:58:21"
"88e5abdf-a143-4848-9e2d-c373b00f7d53","1c32059d-7847-41c8-a45f-311b3ade67b7","2026-02-01T00:00:00.000Z","CASH","INTEREST","Cash","Cash","0.01","1","0","Credit Interest","CONFIRMED","2026-09-04 15:58:21"
"7495adab-f164-40b9-8047-c5fa6a4009e6","1c32059d-7847-41c8-a45f-311b3ade67b7","2026-03-01T00:00:00.000Z","CASH","INTEREST","Cash",,"0.01","1","0","Credit Interest","CONFIRMED","2026-09-04 15:58:21"
"46208cf1-429a-4dd5-ab0d-5118c863ed30","1c32059d-7847-41c8-a45f-311b3ade67b7","2026-03-30T12:00:00.000Z","SCHG","DIVIDEND","Cash","Cash","0.9","1","0","Dividend SCHG ($1.06 - WHT $0.16)","CONFIRMED","2026-09-04 15:58:21"
"73fbb32f-937d-4016-99f6-b62f6eef3d11","1c32059d-7847-41c8-a45f-311b3ade67b7","2026-04-01T00:00:00.000Z","CASH","INTEREST","Cash",,"0.01","1","0","Credit Interest","CONFIRMED","2026-09-04 15:58:21"
"8421a38f-0295-47fe-8d49-f0afacd8b74e","1c32059d-7847-41c8-a45f-311b3ade67b7","2026-04-01T12:00:00.000Z","NVDA","DIVIDEND","Cash","Cash","0.03","1","0","Dividend NVDA","CONFIRMED","2026-09-04 15:58:21"
"a340c455-5d67-4ad5-87a9-e43e7c332cc5","1c32059d-7847-41c8-a45f-311b3ade67b7","2026-05-01T00:00:00.000Z","CASH","INTEREST","Cash",,"0.01","1","0","Credit Interest","CONFIRMED","2026-09-04 15:58:21"
"ccae5ad6-73bb-4697-8984-f799a98072ac","1c32059d-7847-41c8-a45f-311b3ade67b7","2026-06-01T00:00:00.000Z","CASH","INTEREST","Cash",,"0.02","1","0","Credit Interest","CONFIRMED","2026-09-04 15:58:21"
"b37cbb69-1421-4ea4-8af8-e69c7bd98391","1c32059d-7847-41c8-a45f-311b3ade67b7","2026-06-26T12:00:00.000Z","NVDA","DIVIDEND","Cash","Cash","0.54","1","0","Dividend NVDA ($0.63 - WHT $0.09)","CONFIRMED","2026-09-04 15:58:21"
"cdd4eee2-35f5-49da-8f8f-6b22f314822b","1c32059d-7847-41c8-a45f-311b3ade67b7","2026-06-29T12:00:00.000Z","SCHG","DIVIDEND","Cash","Cash","0.83","1","0","Dividend SCHG ($0.98 - WHT $0.15)","CONFIRMED","2026-09-04 15:58:21"
"5a6ae8e5-5b97-4197-adf0-f8932bfe1a3d","1c32059d-7847-41c8-a45f-311b3ade67b7","2026-07-01T00:00:00.000Z","CASH","INTEREST","Cash",,"0.02","1","0","Credit Interest","CONFIRMED","2026-09-04 15:58:21"
"c0d6c924-1c89-4b60-81f3-8309f2a1c203","1c32059d-7847-41c8-a45f-311b3ade67b7","2026-08-01T00:00:00.000Z","CASH","INTEREST","Cash",,"0.02","1","0","Credit Interest","CONFIRMED","2026-09-04 15:58:21"
"d86e367c-f3ef-4a82-b9a0-38db3f912f3d","1c32059d-7847-41c8-a45f-311b3ade67b7","2026-09-01T00:00:00.000Z","CASH","INTEREST","Cash",,"0.02","1","0","Credit Interest","CONFIRMED","2026-09-04 15:58:21"
